"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6887","Request a Quote Navigation","chromium","Fri Jun 19 21:18:42 IST 2026","passed","Fri Jun 19 21:18:49 IST 2026","Shopping Tools - Request a Quote Tests","ui\homePage\header\build-others\raqNavigations.spec.js","",""
"","15556","Electrified","chromium","Fri Jun 19 21:31:59 IST 2026","passed","Fri Jun 19 21:32:15 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","38483","BSI Filter - Performance Name Validation (Data Driven)","chromium","Fri Jun 19 20:57:48 IST 2026","passed","Fri Jun 19 20:58:26 IST 2026","","ui\buildAndprice\bsi-filter\filter-type-performance.spec.js","",""
"","60249","Vehicle Categories - IONIQ 5, SONATA, Hyundai Pay","chromium","Fri Jun 19 21:38:21 IST 2026","broken","Fri Jun 19 21:39:21 IST 2026","","ui\homePage\homeDefault\threeStaticbanners.spec.js","",""
"","47216","BSI Filter - 2026 + 2025 Combined Vehicle Validation","chromium","Fri Jun 19 21:01:52 IST 2026","passed","Fri Jun 19 21:02:39 IST 2026","","ui\buildAndprice\bsi-filter\filter-year-combo-2026-2025.spec.js","",""
"","52882","Community Banner Test","chromium","Fri Jun 19 21:35:38 IST 2026","passed","Fri Jun 19 21:36:31 IST 2026","","ui\homePage\homeDefault\hopeOnwheels.spec.js","",""
"","48083","BSI Filter - 2025 Name and Price Validation","chromium","Fri Jun 19 21:00:22 IST 2026","passed","Fri Jun 19 21:01:10 IST 2026","","ui\buildAndprice\bsi-filter\filter-year-2025.spec.js","",""
"","61828","Build & Price - Verify 2025 PALISADE Flow","chromium","Fri Jun 19 20:52:04 IST 2026","passed","Fri Jun 19 20:53:06 IST 2026","","ui\build-price\year\2025-filter.spec.js","",""
"","120156","Verify the footer navigations - Shopping Tools section","chromium","Fri Jun 19 21:07:27 IST 2026","broken","Fri Jun 19 21:09:27 IST 2026","","ui\homePage\footer\footer-Navigations\NavigationforShopping.spec.js","",""
"","104695","Palisade Color Selection Flow","chromium","Fri Jun 19 20:36:17 IST 2026","passed","Fri Jun 19 20:38:02 IST 2026","","ui\build-price\build-the-vehicle\build-colors.spec.js","",""
"","50832","Privacy & Site Map Navigation - Full Flow with Popups","chromium","Fri Jun 19 21:15:05 IST 2026","passed","Fri Jun 19 21:15:56 IST 2026","","ui\homePage\footer\footer-Navigations\PrivacyListNavigation.spec.js","",""
"","14955","Build & Price - Navigation workflow","chromium","Fri Jun 19 21:18:08 IST 2026","passed","Fri Jun 19 21:18:23 IST 2026","Shopping Tools - Build & Price Tests","ui\homePage\header\build-others\buildandpriceNavigations.spec.js","",""
"","45157","Palisade Build & Trim Compare Flow","chromium","Fri Jun 19 20:48:10 IST 2026","passed","Fri Jun 19 20:48:55 IST 2026","","ui\build-price\build-the-vehicle\build-trim.spec.js","",""
"","17730","TC-06: Roadside Assistance Navigation","chromium","Fri Jun 19 21:29:24 IST 2026","passed","Fri Jun 19 21:29:42 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","43666","Build & Price - Verify 2024 Year Disabled","chromium","Fri Jun 19 20:51:20 IST 2026","passed","Fri Jun 19 20:52:04 IST 2026","","ui\build-price\year\2024-filter.spec.js","",""
"","300204","Palisade Summary & Contact Dealer Flow","chromium","Fri Jun 19 20:38:03 IST 2026","broken","Fri Jun 19 20:43:03 IST 2026","","ui\build-price\build-the-vehicle\build-contactdealer.spec.js","",""
"","17078","TC-02: Login Navigation","chromium","Fri Jun 19 21:28:21 IST 2026","passed","Fri Jun 19 21:28:38 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","120003","Banner Carousel Navigation and Text Verification","chromium","Fri Jun 19 21:33:17 IST 2026","broken","Fri Jun 19 21:35:17 IST 2026","Home Page Banner Carousel Tests","ui\homePage\homeDefault\banner.spec.js","",""
"","13489","Test Drive","chromium","Fri Jun 19 21:31:46 IST 2026","passed","Fri Jun 19 21:31:59 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","15572","Offers","chromium","Fri Jun 19 21:31:30 IST 2026","passed","Fri Jun 19 21:31:46 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","17592","Compare Vehicles","chromium","Fri Jun 19 21:32:31 IST 2026","passed","Fri Jun 19 21:32:48 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","180257","BSI Filter - Seating 5 6 7 8 Validation","chromium","Fri Jun 19 21:08:25 IST 2026","broken","Fri Jun 19 21:11:25 IST 2026","","ui\buildAndprice\bsi-filter\filter-size-seating-5-6-7-8.spec.js","",""
"","38417","BSI Filter - SUV Name Validation (Data Driven)","chromium","Fri Jun 19 20:59:05 IST 2026","passed","Fri Jun 19 20:59:43 IST 2026","","ui\buildAndprice\bsi-filter\filter-type-suvs.spec.js","",""
"","300167","Why Hyundai - Navigate all links","chromium","Fri Jun 19 21:09:31 IST 2026","broken","Fri Jun 19 21:14:31 IST 2026","","ui\homePage\footer\footer-Navigations\NavigationforWhyHyundaiLink.spec.js","",""
"","19023","Why Hyundai Full Navigation Coverage","chromium","Fri Jun 19 21:29:42 IST 2026","passed","Fri Jun 19 21:30:01 IST 2026","","ui\homePage\header\menu\why-hyundai.spec.js","",""
"","120013","Warranty Carousel - 4 Slides Navigation","chromium","Fri Jun 19 21:43:05 IST 2026","broken","Fri Jun 19 21:45:05 IST 2026","Warranty Carousel Navigation Tests","ui\homePage\homeDefault\warranty4Slider.spec.js","",""
"","13004","TC-01: Ownership Resources Navigation","chromium","Fri Jun 19 21:27:50 IST 2026","passed","Fri Jun 19 21:28:03 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","30176","Dealers Full Navigation Coverage","chromium","Fri Jun 19 21:26:32 IST 2026","passed","Fri Jun 19 21:27:02 IST 2026","","ui\homePage\header\menu\contact-us.spec.js","",""
"","107896","Vehicles - Full Footer Completion Test","chromium","Fri Jun 19 21:15:56 IST 2026","passed","Fri Jun 19 21:17:44 IST 2026","","ui\homePage\footer\footer-Navigations\VehiclesLinksNavigation.spec.js","",""
"","16488","TC-05: Warranty Navigation","chromium","Fri Jun 19 21:29:08 IST 2026","passed","Fri Jun 19 21:29:24 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","53795","Homepage - Complete Navigation Test","chromium","Fri Jun 19 21:03:30 IST 2026","passed","Fri Jun 19 21:04:24 IST 2026","","ui\homePage\footer\footer-Navigations\AboutHyundaiSection.spec.js","",""
"","300157","Palisade Drivetrain Selection Flow","chromium","Fri Jun 19 20:43:06 IST 2026","broken","Fri Jun 19 20:48:06 IST 2026","","ui\build-price\build-the-vehicle\build-drivetrain.spec.js","",""
"","13452","TC-03: Accessories Navigation","chromium","Fri Jun 19 21:28:38 IST 2026","passed","Fri Jun 19 21:28:51 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","20240","TC-03: Auto Shows Navigation","chromium","Fri Jun 19 21:26:12 IST 2026","passed","Fri Jun 19 21:26:32 IST 2026","About Us Navigation Tests","ui\homePage\header\menu\about-us.spec.js","",""
"","144441","Owner Section - Full Navigation with Popups & Overlay Fix","chromium","Fri Jun 19 21:05:03 IST 2026","passed","Fri Jun 19 21:07:27 IST 2026","","ui\homePage\footer\footer-Navigations\NavigationforOwnerLink.spec.js","",""
"","11783","TC-01: Safety Navigation","chromium","Fri Jun 19 21:27:02 IST 2026","passed","Fri Jun 19 21:27:14 IST 2026","Innovation Section Navigation Tests","ui\homePage\header\menu\innovation.spec.js","",""
"","16331","TC-04: Schedule Service Navigation","chromium","Fri Jun 19 21:28:51 IST 2026","passed","Fri Jun 19 21:29:08 IST 2026","Owners Section Navigation Tests","ui\homePage\header\menu\owners.spec.js","",""
"","38712","Palisade Trim Slider Flow - Final Stable","chromium","Fri Jun 19 20:48:55 IST 2026","passed","Fri Jun 19 20:49:34 IST 2026","","ui\build-price\show-trims\showtrim-compare-list.spec.js","",""
"","31750","Performance Section - Full Navigation Flow","chromium","Fri Jun 19 21:47:50 IST 2026","passed","Fri Jun 19 21:48:22 IST 2026","","ui\raq\requestAquote.spec.js","",""
"","38106","Palisade Trim Slider Flow - Final Stable","chromium","Fri Jun 19 20:49:34 IST 2026","passed","Fri Jun 19 20:50:12 IST 2026","","ui\build-price\show-trims\trim-onevehicle-compare.spec.js","",""
"","194645","Palisade Add-Ons & Offers Flow","chromium","Fri Jun 19 20:32:49 IST 2026","failed","Fri Jun 19 20:36:03 IST 2026","","ui\build-price\build-the-vehicle\build-addons-summary.spec.js","",""
"","77071","Navigation Menu - Build & Price, Inventory, Quote, Savings","chromium","Fri Jun 19 21:36:31 IST 2026","passed","Fri Jun 19 21:37:48 IST 2026","","ui\homePage\homeDefault\mainNavigation.spec.js","",""
"","30532","Performance Section - Full Navigation Flow","chromium","Fri Jun 19 21:14:34 IST 2026","passed","Fri Jun 19 21:15:04 IST 2026","","ui\homePage\footer\footer-Navigations\NPerfomanceLogo.spec.js","",""
"","7972","Payment Calculator","chromium","Fri Jun 19 21:30:25 IST 2026","passed","Fri Jun 19 21:30:33 IST 2026","Shopping Tools - Finance Tests","ui\homePage\header\shopping-tools\finance.spec.js","",""
"","157367","BSI Model Validation - Name, Price & Image (Data Driven)","chromium","Fri Jun 19 20:54:02 IST 2026","passed","Fri Jun 19 20:56:39 IST 2026","","ui\buildAndprice\bsi-filter\filter-model-all.spec.js","",""
"","120003","Journey Carousel Navigation","chromium","Fri Jun 19 21:45:27 IST 2026","broken","Fri Jun 19 21:47:27 IST 2026","Journey Carousel Navigation Tests","ui\homePage\homeDefault\yourJourney.spec.js","",""
"","15769","Accessories Popup","chromium","Fri Jun 19 21:32:15 IST 2026","passed","Fri Jun 19 21:32:31 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","34170","Palisade Trim Slider + Full Compare Overlay Flow - Pass State","chromium","Fri Jun 19 20:50:12 IST 2026","passed","Fri Jun 19 20:50:46 IST 2026","","ui\build-price\show-trims\trim-threevehicle-compare.spec.js","",""
"","13943","Build & Price","chromium","Fri Jun 19 21:31:16 IST 2026","passed","Fri Jun 19 21:31:30 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","6756","Search Inventory Navigation","chromium","Fri Jun 19 21:24:31 IST 2026","passed","Fri Jun 19 21:24:38 IST 2026","Shopping Tools - Search Inventory Tests","ui\homePage\header\build-others\searchinventoryNavigations.spec.js","",""
"","21362","Saved Vehicles - Global Saved workflow","chromium","Fri Jun 19 21:19:06 IST 2026","failed","Fri Jun 19 21:19:28 IST 2026","Shopping Tools - Saved vehicles build Tests","ui\homePage\header\build-others\savedvehicles-buildNavigation.spec.js","",""
"","41813","BSI Filter - 2026 Name and Price Validation","chromium","Fri Jun 19 21:01:10 IST 2026","passed","Fri Jun 19 21:01:52 IST 2026","","ui\buildAndprice\bsi-filter\filter-year-2026.spec.js","",""
"","38610","BSI Filter - 2024 Vehicle Validation (UI Filter)","chromium","Fri Jun 19 20:59:43 IST 2026","passed","Fri Jun 19 21:00:22 IST 2026","","ui\buildAndprice\bsi-filter\filter-year-2024.spec.js","",""
"","19587","TC-02: Contact Hyundai","chromium","Fri Jun 19 21:25:52 IST 2026","passed","Fri Jun 19 21:26:12 IST 2026","About Us Navigation Tests","ui\homePage\header\menu\about-us.spec.js","",""
"","120002","Saved Vehicles - Global Saved workflow","chromium","Fri Jun 19 21:19:49 IST 2026","broken","Fri Jun 19 21:21:49 IST 2026","Shopping Tools - Saved inventory Tests","ui\homePage\header\build-others\savedvehicles-inventoryNavigation.spec.js","",""
"","50885","BSI Filter - 2026 Name and Price Validation","chromium","Fri Jun 19 21:02:39 IST 2026","passed","Fri Jun 19 21:03:30 IST 2026","","ui\buildAndprice\bsi-filter.spec.js","",""
"","6315","FAQs and Contact Navigation","chromium","Fri Jun 19 21:30:01 IST 2026","passed","Fri Jun 19 21:30:07 IST 2026","Shopping Tools - Contact Tests","ui\homePage\header\shopping-tools\contact.spec.js","",""
"","8609","Search Inventory","chromium","Fri Jun 19 21:30:50 IST 2026","passed","Fri Jun 19 21:30:59 IST 2026","Shopping Tools - Shop Tests","ui\homePage\header\shopping-tools\shop.spec.js","",""
"","11253","Vehicles Menu and Tab Navigation","chromium","Fri Jun 19 21:32:48 IST 2026","passed","Fri Jun 19 21:33:00 IST 2026","Hyundai Vehicles Navigation and Tabs Tests","ui\homePage\header\vehicles\vehiclesnavigation.spec.js","",""
"","28525","BSI Filter - Compact SUV Validation","chromium","Fri Jun 19 20:56:39 IST 2026","passed","Fri Jun 19 20:57:08 IST 2026","","ui\buildAndprice\bsi-filter\filter-size-bodysize-CompactSUVs.spec.js","",""
"","200009","Vehicle Carousel Tab Navigation","chromium","Fri Jun 19 21:39:24 IST 2026","broken","Fri Jun 19 21:42:44 IST 2026","Vehicle Carousel Navigation Tests","ui\homePage\homeDefault\vehicleCarousel.spec.js","",""
"","7350","Search Vehicles - Global Search workflow","chromium","Fri Jun 19 21:24:56 IST 2026","passed","Fri Jun 19 21:25:03 IST 2026","Shopping Tools - Search Vehicles Tests","ui\homePage\header\build-others\SearchNavigations.spec.js","",""
"","18918","TC-02: Technology Navigation","chromium","Fri Jun 19 21:27:31 IST 2026","passed","Fri Jun 19 21:27:50 IST 2026","Innovation Section Navigation Tests","ui\homePage\header\menu\innovation.spec.js","",""
"","120014","Saved Vehicles - Global Saved Certified workflow","chromium","Fri Jun 19 21:22:10 IST 2026","broken","Fri Jun 19 21:24:10 IST 2026","Shopping Tools - Saved Vehicles Tests","ui\homePage\header\build-others\savedvehicles-usedvehiclesNavigation.spec.js","",""
"","39682","BSI Filter - Electrified Name Validation (Data Driven)","chromium","Fri Jun 19 20:57:08 IST 2026","passed","Fri Jun 19 20:57:48 IST 2026","","ui\buildAndprice\bsi-filter\filter-type-electrified.spec.js","",""
"","38841","BSI Filter - Sedans Name and Price Validation","chromium","Fri Jun 19 20:58:26 IST 2026","passed","Fri Jun 19 20:59:05 IST 2026","","ui\buildAndprice\bsi-filter\filter-type-sedens.spec.js","",""
"","22047","Social Links Validation","chromium","Fri Jun 19 21:17:44 IST 2026","failed","Fri Jun 19 21:18:06 IST 2026","","ui\homePage\footer\footer-Navigations\VerifySocialLinks.spec.js","",""
"","15868","Email Signup Form Submission","chromium","Fri Jun 19 21:37:48 IST 2026","passed","Fri Jun 19 21:38:04 IST 2026","Email Signup - Hyundai Updates Tests","ui\homePage\homeDefault\signup.spec.js","",""
"","38658","Homepage - Hyundai Hope Navigation Test","chromium","Fri Jun 19 21:04:24 IST 2026","passed","Fri Jun 19 21:05:03 IST 2026","","ui\homePage\footer\footer-Navigations\HyundaiLogo.spec.js","",""
"","56115","Build & Price - Verify 2026 PALISADE Flow","chromium","Fri Jun 19 20:53:06 IST 2026","passed","Fri Jun 19 20:54:02 IST 2026","","ui\build-price\year\2026-filter.spec.js","",""
"","15222","TC-01: FAQs Navigation","chromium","Fri Jun 19 21:25:20 IST 2026","passed","Fri Jun 19 21:25:35 IST 2026","About Us Navigation Tests","ui\homePage\header\menu\about-us.spec.js","",""
"","33744","Palisade Trim Slider + Full Compare Overlay Flow - Pass State","chromium","Fri Jun 19 20:50:47 IST 2026","passed","Fri Jun 19 20:51:20 IST 2026","","ui\build-price\show-trims\trim-twovehicle-compare.spec.js","",""
